3201,2022-02-22,Kec. Cijeruk Ds. Cijeruk,BOGOR,JAWA BARAT,,,,4,,0
3201,2022-02-22,Kec. Cijeruk Ds. Palasari,BOGOR,JAWA BARAT,,,,1,,0
3210,2022-02-23,Kec. Cingambul Ds. Wangkelang Ds. Cintaasih,MAJALENGKA,JAWA BARAT,,,,0,,0
3201,2022-02-23,Kec. Leuwisadeng Ds. Leuwisadeng,BOGOR,JAWA BARAT,,,,0,,0
3201,2022-02-23,Kec. Bogor Selatan Kel. Harjasari,BOGOR,JAWA BARAT,,,,0,,0
3278,2022-02-23,Kec. Bungursari  Ds. Cibunigeulis,KOTA TASIKMALAYA,JAWA BARAT,,,,1,,0
3201,2022-02-23,Kec. Cijeruk Ds. Cipelang,BOGOR,JAWA BARAT,,,,2,,0
3201,2022-02-24,Kec. Cijeruk Ds. Palasari,BOGOR,JAWA BARAT,,,,1,,0
7318,2022-02-24,Kec. Simbuang Lembang Makkodo,TANA TORAJA,SULAWESI SELATAN,,,,0,,1
3201,2022-02-25,Kec. Jasinga Ds. Curug,BOGOR,JAWA BARAT,,,,2,,0
3320,2022-02-25,Kec. Tahunan Ds. Sukodono,JEPARA,JAWA TENGAH,,,,1,,0
3208,2022-02-26,Kec. Ciwaru Ds. Sagaranten,KUNINGAN,JAWA BARAT,,,,0,,0
3202,2022-02-26,Kec. Cikembar Ds. Cibatu,SUKABUMI,JAWA BARAT,,,,2,,0
3210,2022-02-26,Kec. Cingambul Ds. Cigambul,MAJALENGKA,JAWA BARAT,,,,2,,1
3208,2022-02-27,Kec. Maleber Ds. Giriwaringin,KUNINGAN,JAWA BARAT,,,,2,,0
3202,2022-02-27,Kec. Bantargadung Ds. Bojonggaling,SUKABUMI,JAWA BARAT,,,,1,,0
3202,2022-03-01,Kec. Bantargadung Ds. Bojongsari,SUKABUMI,JAWA BARAT,,,2,1,,0
1403,2022-03-02,Kec. Tanah Merah Ds. Kampung Baru,INDRAGIRI HILIR,RIAU,,,,6,,0
3202,2022-03-02,Kec. Bantargadung Ds. Limusnunggal Kec. Caringin Ds. Sukamulya Kec. Cikidang Ds. Sampora Kec. Palabuhanratu Ds. Citepus Kec. Bantargadung Ds. Tugubandung Kec. Cisolok,SUKABUMI,JAWA BARAT,,,,6,,0
